annotation,folder,filename,source,database,size,width,height,depth,segment,object,name,pose,truncated,difficult,bndbox,xmin,ymin,xmax,ymax
,02085620,n02085620_13383,,ImageNet database,,493,500,3,,,Chihuahua,Unspecified,0,0,,156,242,334,498
,02085620,n02085620_1346,,ImageNet database,,450,320,3,,,Chihuahua,Unspecified,0,0,,1,8,432,316
,02085620,n02085620_13964,,ImageNet database,,375,500,3,,,Chihuahua,Unspecified,0,0,,96,133,373,495
,02085620,n02085620_14252,,ImageNet database,,448,336,3,,,Chihuahua,Unspecified,0,0,,166,110,346,248
,02085620,n02085620_14413,,ImageNet database,,640,853,3,,,Chihuahua,Unspecified,0,0,,142,123,546,850
,02085620,n02085620_14516,,ImageNet database,,640,480,3,,,Chihuahua,Unspecified,0,0,,51,2,487,478
,02085620,n02085620_1455,,ImageNet database,,333,500,3,,,Chihuahua,Unspecified,0,0,,60,153,331,498
,02085620,n02085620_1492,,ImageNet database,,500,333,3,,,Chihuahua,Unspecified,0,0,,58,143,190,332
,02085620,n02085620_1502,,ImageNet database,,500,333,3,,,Chihuahua,Unspecified,0,0,,51,13,418,331
,02085620,n02085620_1558,,ImageNet database,,366,500,3,,,Chihuahua,Unspecified,0,0,,0,6,327,493
,02085620,n02085620_1569,,ImageNet database,,278,274,3,,,Chihuahua,Unspecified,0,0,,24,10,277,273
,02085620,n02085620_1617,,ImageNet database,,357,238,3,,,Chihuahua,Unspecified,0,0,,2,6,356,237
,02085620,n02085620_1620,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,25,0,465,374
,02085620,n02085620_1765,,ImageNet database,,391,500,3,,,Chihuahua,Unspecified,0,0,,55,85,327,437
,02085620,n02085620_1816,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,0,14,225,325
,02085620,n02085620_1862,,ImageNet database,,375,500,3,,,Chihuahua,Unspecified,0,0,,152,107,228,247
,02085620,n02085620_1916,,ImageNet database,,500,495,3,,,Chihuahua,Unspecified,0,0,,8,7,456,397
,02085620,n02085620_199,,ImageNet database,,300,430,3,,,Chihuahua,Unspecified,0,0,,65,50,249,404
,02085620,n02085620_2053,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,176,73,441,366
,02085620,n02085620_2188,,ImageNet database,,375,500,3,,,Chihuahua,Unspecified,0,0,,46,98,327,498
,02085620,n02085620_2204,,ImageNet database,,500,337,3,,,Chihuahua,Unspecified,0,0,,267,76,350,223
,02085620,n02085620_2204,,ImageNet database,,500,337,3,,,Chihuahua,Unspecified,0,0,,189,107,263,212
,02085620,n02085620_2208,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,178,144,231,249
,02085620,n02085620_242,,ImageNet database,,400,500,3,,,Chihuahua,Unspecified,0,0,,113,45,368,486
,02085620,n02085620_2479,,ImageNet database,,330,251,3,,,Chihuahua,Unspecified,0,0,,40,16,260,239
,02085620,n02085620_2507,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,79,35,324,322
,02085620,n02085620_2517,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,125,26,372,314
,02085620,n02085620_2590,,ImageNet database,,448,336,3,,,Chihuahua,Unspecified,0,0,,201,88,417,239
,02085620,n02085620_2614,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,123,2,305,374
,02085620,n02085620_2650,,ImageNet database,,500,333,3,,,Chihuahua,Unspecified,0,0,,108,87,405,303
,02085620,n02085620_2693,,ImageNet database,,500,500,3,,,Chihuahua,Unspecified,0,0,,188,140,325,307
,02085620,n02085620_2706,,ImageNet database,,320,240,3,,,Chihuahua,Unspecified,0,0,,105,39,229,217
,02085620,n02085620_275,,ImageNet database,,500,333,3,,,Chihuahua,Unspecified,0,0,,179,53,326,191
,02085620,n02085620_2793,,ImageNet database,,352,288,3,,,Chihuahua,Unspecified,0,0,,23,0,351,287
,02085620,n02085620_2815,,ImageNet database,,500,600,3,,,Chihuahua,Unspecified,0,0,,60,6,495,597
,02085620,n02085620_2887,,ImageNet database,,345,360,3,,,Chihuahua,Unspecified,0,0,,16,23,289,355
,02085620,n02085620_2903,,ImageNet database,,500,333,3,,,Chihuahua,Unspecified,0,0,,210,57,468,332
,02085620,n02085620_2921,,ImageNet database,,250,238,3,,,Chihuahua,Unspecified,0,0,,30,15,202,224
,02085620,n02085620_2937,,ImageNet database,,360,273,3,,,Chihuahua,Unspecified,0,0,,121,28,256,192
,02085620,n02085620_2973,,ImageNet database,,375,500,3,,,Chihuahua,Unspecified,0,0,,71,78,320,450
,02085620,n02085620_2981,,ImageNet database,,600,607,3,,,Chihuahua,Unspecified,0,0,,399,314,562,525
,02085620,n02085620_3006,,ImageNet database,,369,500,3,,,Chihuahua,Unspecified,0,0,,86,42,356,492
,02085620,n02085620_3033,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,164,137,456,335
,02085620,n02085620_3045,,ImageNet database,,445,500,3,,,Chihuahua,Unspecified,0,0,,101,106,318,343
,02085620,n02085620_3093,,ImageNet database,,375,500,3,,,Chihuahua,Unspecified,0,0,,155,183,320,427
,02085620,n02085620_3110,,ImageNet database,,450,338,3,,,Chihuahua,Unspecified,0,0,,98,32,285,258
,02085620,n02085620_3208,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,100,21,451,374
,02085620,n02085620_326,,ImageNet database,,333,500,3,,,Chihuahua,Unspecified,0,0,,0,66,264,470
,02085620,n02085620_3402,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,155,117,466,297
,02085620,n02085620_3407,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,0,14,478,304
,02085620,n02085620_3409,,ImageNet database,,500,333,3,,,Chihuahua,Unspecified,0,0,,2,1,389,331
,02085620,n02085620_3423,,ImageNet database,,200,262,3,,,Chihuahua,Unspecified,0,0,,27,27,174,196
,02085620,n02085620_3485,,ImageNet database,,320,319,3,,,Chihuahua,Unspecified,0,0,,25,9,282,315
,02085620,n02085620_3488,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,78,67,424,326
,02085620,n02085620_3593,,ImageNet database,,200,229,3,,,Chihuahua,Unspecified,0,0,,2,7,199,227
,02085620,n02085620_3651,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,152,216,275,370
,02085620,n02085620_3677,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,67,24,499,308
,02085620,n02085620_368,,ImageNet database,,500,333,3,,,Chihuahua,Unspecified,0,0,,155,24,418,316
,02085620,n02085620_3681,,ImageNet database,,500,500,3,,,Chihuahua,Unspecified,0,0,,128,26,406,442
,02085620,n02085620_3742,,ImageNet database,,599,428,3,,,Chihuahua,Unspecified,0,0,,72,24,538,408
,02085620,n02085620_3763,,ImageNet database,,157,211,3,,,Chihuahua,Unspecified,0,0,,6,0,131,131
,02085620,n02085620_382,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,134,24,361,373
,02085620,n02085620_3826,,ImageNet database,,500,333,3,,,Chihuahua,Unspecified,0,0,,2,0,454,332
,02085620,n02085620_3838,,ImageNet database,,468,344,3,,,Chihuahua,Unspecified,0,0,,75,2,349,324
,02085620,n02085620_3875,,ImageNet database,,500,333,3,,,Chihuahua,Unspecified,0,0,,125,14,340,332
,02085620,n02085620_3877,,ImageNet database,,333,500,3,,,Chihuahua,Unspecified,0,0,,0,17,331,498
,02085620,n02085620_3880,,ImageNet database,,359,500,3,,,Chihuahua,Unspecified,0,0,,1,63,281,498
,02085620,n02085620_3928,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,75,21,399,374
,02085620,n02085620_3942,,ImageNet database,,478,500,3,,,Chihuahua,Unspecified,0,0,,10,11,440,498
,02085620,n02085620_3975,,ImageNet database,,336,500,3,,,Chihuahua,Unspecified,0,0,,45,63,274,463
,02085620,n02085620_4016,,ImageNet database,,640,480,3,,,Chihuahua,Unspecified,0,0,,2,8,629,478
,02085620,n02085620_4159,,ImageNet database,,500,333,3,,,Chihuahua,Unspecified,0,0,,167,78,287,319
,02085620,n02085620_4207,,ImageNet database,,500,333,3,,,Chihuahua,Unspecified,0,0,,19,16,464,317
,02085620,n02085620_4266,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,0,0,285,374
,02085620,n02085620_4290,,ImageNet database,,351,500,3,,,Chihuahua,Unspecified,0,0,,36,155,290,458
,02085620,n02085620_431,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,180,113,387,360
,02085620,n02085620_4441,,ImageNet database,,375,500,3,,,Chihuahua,Unspecified,0,0,,107,110,296,401
,02085620,n02085620_4515,,ImageNet database,,500,385,3,,,Chihuahua,Unspecified,0,0,,94,127,222,327
,02085620,n02085620_4572,,ImageNet database,,500,405,3,,,Chihuahua,Unspecified,0,0,,67,137,222,380
,02085620,n02085620_4602,,ImageNet database,,3264,2448,3,,,Chihuahua,Unspecified,0,0,,1230,416,2541,2441
,02085620,n02085620_4673,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,85,78,300,373
,02085620,n02085620_4700,,ImageNet database,,375,500,3,,,Chihuahua,Unspecified,0,0,,30,32,372,498
,02085620,n02085620_473,,ImageNet database,,500,333,3,,,Chihuahua,Unspecified,0,0,,173,4,383,242
,02085620,n02085620_473,,ImageNet database,,500,333,3,,,Chihuahua,Unspecified,0,0,,43,146,251,319
,02085620,n02085620_477,,ImageNet database,,500,334,3,,,Chihuahua,Unspecified,0,0,,209,6,452,284
,02085620,n02085620_4814,,ImageNet database,,239,252,3,,,Chihuahua,Unspecified,0,0,,25,19,221,238
,02085620,n02085620_4875,,ImageNet database,,500,467,3,,,Chihuahua,Unspecified,0,0,,17,3,494,457
,02085620,n02085620_4919,,ImageNet database,,240,206,3,,,Chihuahua,Unspecified,0,0,,10,22,180,205
,02085620,n02085620_4951,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,65,27,441,349
,02085620,n02085620_4980,,ImageNet database,,500,334,3,,,Chihuahua,Unspecified,0,0,,153,93,323,205
,02085620,n02085620_4998,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,129,124,323,374
,02085620,n02085620_500,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,8,87,432,340
,02085620,n02085620_5093,,ImageNet database,,280,420,3,,,Chihuahua,Unspecified,0,0,,70,91,230,360
,02085620,n02085620_5312,,ImageNet database,,500,374,3,,,Chihuahua,Unspecified,0,0,,42,11,499,373
,02085620,n02085620_5496,,ImageNet database,,500,333,3,,,Chihuahua,Unspecified,0,0,,0,9,284,332
,02085620,n02085620_5661,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,114,180,253,311
,02085620,n02085620_5661,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,176,42,422,286
,02085620,n02085620_5713,,ImageNet database,,500,405,3,,,Chihuahua,Unspecified,0,0,,158,14,482,403
,02085620,n02085620_574,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,61,65,433,374
,02085620,n02085620_575,,ImageNet database,,500,377,3,,,Chihuahua,Unspecified,0,0,,112,49,286,327
,02085620,n02085620_575,,ImageNet database,,500,377,3,,,Chihuahua,Unspecified,0,0,,249,51,384,339
,02085620,n02085620_5771,,ImageNet database,,281,500,3,,,Chihuahua,Unspecified,0,0,,124,234,252,371
,02085620,n02085620_588,,ImageNet database,,334,500,3,,,Chihuahua,Unspecified,0,0,,78,117,321,473
,02085620,n02085620_5927,,ImageNet database,,360,300,3,,,Chihuahua,Unspecified,0,0,,30,14,236,298
,02085620,n02085620_6295,,ImageNet database,,338,500,3,,,Chihuahua,Unspecified,0,0,,70,148,179,430
,02085620,n02085620_6399,,ImageNet database,,300,225,3,,,Chihuahua,Unspecified,0,0,,107,70,235,147
,02085620,n02085620_6931,,ImageNet database,,500,333,3,,,Chihuahua,Unspecified,0,0,,96,87,380,332
,02085620,n02085620_7,,ImageNet database,,250,188,3,,,Chihuahua,Unspecified,0,0,,71,1,192,180
,02085620,n02085620_712,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,98,61,349,325
,02085620,n02085620_7292,,ImageNet database,,225,168,3,,,Chihuahua,Unspecified,0,0,,69,6,174,139
,02085620,n02085620_730,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,177,134,347,367
,02085620,n02085620_735,,ImageNet database,,223,287,3,,,Chihuahua,Unspecified,0,0,,92,71,185,286
,02085620,n02085620_7436,,ImageNet database,,375,500,3,,,Chihuahua,Unspecified,0,0,,0,25,373,498
,02085620,n02085620_7440,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,21,0,473,374
,02085620,n02085620_7613,,ImageNet database,,500,408,3,,,Chihuahua,Unspecified,0,0,,159,119,367,342
,02085620,n02085620_7700,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,0,0,379,374
,02085620,n02085620_7738,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,119,103,332,355
,02085620,n02085620_806,,ImageNet database,,800,534,3,,,Chihuahua,Unspecified,0,0,,189,288,464,483
,02085620,n02085620_8420,,ImageNet database,,500,332,3,,,Chihuahua,Unspecified,0,0,,53,68,312,249
,02085620,n02085620_8491,,ImageNet database,,400,359,3,,,Chihuahua,Unspecified,0,0,,17,17,386,342
,02085620,n02085620_8558,,ImageNet database,,215,214,3,,,Chihuahua,Unspecified,0,0,,49,35,171,154
,02085620,n02085620_8578,,ImageNet database,,500,353,3,,,Chihuahua,Unspecified,0,0,,62,35,336,323
,02085620,n02085620_8585,,ImageNet database,,500,332,3,,,Chihuahua,Unspecified,0,0,,125,9,321,267
,02085620,n02085620_8611,,ImageNet database,,332,332,3,,,Chihuahua,Unspecified,0,0,,105,12,254,266
,02085620,n02085620_8636,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,45,130,204,262
,02085620,n02085620_8637,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,143,46,457,301
,02085620,n02085620_9351,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,139,12,359,327
,02085620,n02085620_9357,,ImageNet database,,500,319,3,,,Chihuahua,Unspecified,0,0,,63,90,418,248
,02085620,n02085620_9399,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,149,74,286,249
,02085620,n02085620_9414,,ImageNet database,,500,375,3,,,Chihuahua,Unspecified,0,0,,42,0,343,281
,02085620,n02085620_949,,ImageNet database,,401,363,3,,,Chihuahua,Unspecified,0,0,,8,16,374,357
,02085620,n02085620_952,,ImageNet database,,416,530,3,,,Chihuahua,Unspecified,0,0,,107,29,370,498
,02085620,n02085620_9654,,ImageNet database,,461,500,3,,,Chihuahua,Unspecified,0,0,,0,36,420,498
,02085782,n02085782_1039,,ImageNet database,,500,375,3,,,Japanese_spaniel,Unspecified,0,0,,1,1,374,374
,02085782,n02085782_1058,,ImageNet database,,240,182,3,,,Japanese_spaniel,Unspecified,0,0,,82,53,169,127
,02085782,n02085782_1059,,ImageNet database,,550,413,3,,,Japanese_spaniel,Unspecified,0,0,,142,8,361,410
,02085782,n02085782_1077,,ImageNet database,,519,334,3,,,Japanese_spaniel,Unspecified,0,0,,27,36,505,316
,02085782,n02085782_1085,,ImageNet database,,260,331,3,,,Japanese_spaniel,Unspecified,0,0,,10,2,247,323
,02085782,n02085782_1143,,ImageNet database,,220,214,3,,,Japanese_spaniel,Unspecified,0,0,,30,3,211,210
,02085782,n02085782_1156,,ImageNet database,,640,480,3,,,Japanese_spaniel,Unspecified,0,0,,92,55,423,355
,02085782,n02085782_1191,,ImageNet database,,403,302,3,,,Japanese_spaniel,Unspecified,0,0,,133,52,304,297
,02085782,n02085782_1224,,ImageNet database,,210,210,3,,,Japanese_spaniel,Unspecified,0,0,,33,28,171,185
,02085782,n02085782_126,,ImageNet database,,437,382,3,,,Japanese_spaniel,Unspecified,0,0,,43,27,388,346
,02085782,n02085782_1267,,ImageNet database,,150,103,3,,,Japanese_spaniel,Unspecified,0,0,,13,5,139,98
,02085782,n02085782_1284,,ImageNet database,,640,479,3,,,Japanese_spaniel,Unspecified,0,0,,29,97,539,378
,02085782,n02085782_1348,,ImageNet database,,600,448,3,,,Japanese_spaniel,Unspecified,0,0,,2,113,454,379
,02085782,n02085782_1350,,ImageNet database,,332,218,3,,,Japanese_spaniel,Unspecified,0,0,,90,16,205,131
,02085782,n02085782_1353,,ImageNet database,,320,240,3,,,Japanese_spaniel,Unspecified,0,0,,116,25,299,239
,02085782,n02085782_1401,,ImageNet database,,190,168,3,,,Japanese_spaniel,Unspecified,0,0,,16,12,177,150
,02085782,n02085782_1425,,ImageNet database,,125,100,3,,,Japanese_spaniel,Unspecified,0,0,,10,2,118,99
,02085782,n02085782_143,,ImageNet database,,250,269,3,,,Japanese_spaniel,Unspecified,0,0,,0,6,249,268
,02085782,n02085782_1434,,ImageNet database,,320,343,3,,,Japanese_spaniel,Unspecified,0,0,,7,24,290,319
,02085782,n02085782_1460,,ImageNet database,,358,370,3,,,Japanese_spaniel,Unspecified,0,0,,94,31,305,351
,02085782,n02085782_1503,,ImageNet database,,216,288,3,,,Japanese_spaniel,Unspecified,0,0,,26,22,185,287
,02085782,n02085782_1521,,ImageNet database,,191,178,3,,,Japanese_spaniel,Unspecified,0,0,,2,3,189,169
,02085782,n02085782_1528,,ImageNet database,,301,271,3,,,Japanese_spaniel,Unspecified,0,0,,55,13,274,270
,02085782,n02085782_1552,,ImageNet database,,180,230,3,,,Japanese_spaniel,Unspecified,0,0,,0,8,155,229
,02085782,n02085782_1600,,ImageNet database,,500,436,3,,,Japanese_spaniel,Unspecified,0,0,,0,90,294,434
,02085782,n02085782_1600,,ImageNet database,,500,436,3,,,Japanese_spaniel,Unspecified,0,0,,65,5,494,385
,02085782,n02085782_1610,,ImageNet database,,250,197,3,,,Japanese_spaniel,Unspecified,0,0,,10,11,248,188
,02085782,n02085782_1626,,ImageNet database,,619,495,3,,,Japanese_spaniel,Unspecified,0,0,,24,17,542,481
,02085782,n02085782_1656,,ImageNet database,,230,161,3,,,Japanese_spaniel,Unspecified,0,0,,7,5,220,154
,02085782,n02085782_1665,,ImageNet database,,300,225,3,,,Japanese_spaniel,Unspecified,0,0,,116,24,182,94
,02085782,n02085782_1691,,ImageNet database,,225,293,3,,,Japanese_spaniel,Unspecified,0,0,,24,114,202,268
,02085782,n02085782_17,,ImageNet database,,393,425,3,,,Japanese_spaniel,Unspecified,0,0,,48,102,367,367
,02085782,n02085782_172,,ImageNet database,,200,150,3,,,Japanese_spaniel,Unspecified,0,0,,19,22,199,143
,02085782,n02085782_1724,,ImageNet database,,500,375,3,,,Japanese_spaniel,Unspecified,0,0,,56,22,499,374
,02085782,n02085782_1731,,ImageNet database,,600,449,3,,,Japanese_spaniel,Unspecified,0,0,,23,0,598,435
,02085782,n02085782_1750,,ImageNet database,,500,375,3,,,Japanese_spaniel,Unspecified,0,0,,91,55,483,346
,02085782,n02085782_1764,,ImageNet database,,400,322,3,,,Japanese_spaniel,Unspecified,0,0,,29,30,370,289
,02085782,n02085782_1774,,ImageNet database,,143,225,3,,,Japanese_spaniel,Unspecified,0,0,,0,28,141,149
,02085782,n02085782_1778,,ImageNet database,,640,480,3,,,Japanese_spaniel,Unspecified,0,0,,30,103,392,379
,02085782,n02085782_1782,,ImageNet database,,300,266,3,,,Japanese_spaniel,Unspecified,0,0,,1,5,292,257
,02085782,n02085782_1836,,ImageNet database,,800,600,3,,,Japanese_spaniel,Unspecified,0,0,,192,40,625,597
,02085782,n02085782_1848,,ImageNet database,,600,450,3,,,Japanese_spaniel,Unspecified,0,0,,68,1,598,448
,02085782,n02085782_1855,,ImageNet database,,421,405,3,,,Japanese_spaniel,Unspecified,0,0,,47,17,362,401
,02085782,n02085782_186,,ImageNet database,,250,333,3,,,Japanese_spaniel,Unspecified,0,0,,10,25,196,280
,02085782,n02085782_1890,,ImageNet database,,180,180,3,,,Japanese_spaniel,Unspecified,0,0,,18,14,157,171
,02085782,n02085782_191,,ImageNet database,,300,233,3,,,Japanese_spaniel,Unspecified,0,0,,34,15,276,225
,02085782,n02085782_1929,,ImageNet database,,300,225,3,,,Japanese_spaniel,Unspecified,0,0,,71,2,192,223
,02085782,n02085782_1949,,ImageNet database,,288,232,3,,,Japanese_spaniel,Unspecified,0,0,,15,30,253,223
,02085782,n02085782_1964,,ImageNet database,,640,558,3,,,Japanese_spaniel,Unspecified,0,0,,4,33,561,545
,02085782,n02085782_2,,ImageNet database,,414,298,3,,,Japanese_spaniel,Unspecified,0,0,,74,36,347,253
,02085782,n02085782_2010,,ImageNet database,,300,237,3,,,Japanese_spaniel,Unspecified,0,0,,99,75,161,161
,02085782,n02085782_2010,,ImageNet database,,300,237,3,,,Japanese_spaniel,Unspecified,0,0,,193,27,266,145
,02085782,n02085782_2010,,ImageNet database,,300,237,3,,,Japanese_spaniel,Unspecified,0,0,,140,42,207,139
,02085782,n02085782_2014,,ImageNet database,,180,220,3,,,Japanese_spaniel,Unspecified,0,0,,21,7,179,219
,02085782,n02085782_2045,,ImageNet database,,378,303,3,,,Japanese_spaniel,Unspecified,0,0,,4,7,377,285
,02085782,n02085782_2074,,ImageNet database,,435,293,3,,,Japanese_spaniel,Unspecified,0,0,,84,36,327,277
,02085782,n02085782_2100,,ImageNet database,,442,277,3,,,Japanese_spaniel,Unspecified,0,0,,242,48,439,222
,02085782,n02085782_2100,,ImageNet database,,442,277,3,,,Japanese_spaniel,Unspecified,0,0,,1,3,284,276
,02085782,n02085782_2118,,ImageNet database,,300,290,3,,,Japanese_spaniel,Unspecified,0,0,,64,30,268,260
,02085782,n02085782_2128,,ImageNet database,,473,355,3,,,Japanese_spaniel,Unspecified,0,0,,1,1,391,354
,02085782,n02085782_2162,,ImageNet database,,180,138,3,,,Japanese_spaniel,Unspecified,0,0,,22,5,160,130
,02085782,n02085782_2182,,ImageNet database,,400,295,3,,,Japanese_spaniel,Unspecified,0,0,,23,7,392,276
,02085782,n02085782_2207,,ImageNet database,,375,316,3,,,Japanese_spaniel,Unspecified,0,0,,64,7,212,239
,02085782,n02085782_2207,,ImageNet database,,375,316,3,,,Japanese_spaniel,Unspecified,0,0,,199,32,340,241
,02085782,n02085782_2241,,ImageNet database,,362,429,3,,,Japanese_spaniel,Unspecified,0,0,,60,32,302,396
,02085782,n02085782_2250,,ImageNet database,,600,800,3,,,Japanese_spaniel,Unspecified,0,0,,6,0,598,792
,02085782,n02085782_2255,,ImageNet database,,320,280,3,,,Japanese_spaniel,Unspecified,0,0,,28,13,273,251
,02085782,n02085782_2269,,ImageNet database,,320,240,3,,,Japanese_spaniel,Unspecified,0,0,,98,43,252,226
,02085782,n02085782_2279,,ImageNet database,,250,211,3,,,Japanese_spaniel,Unspecified,0,0,,50,5,203,206
,02085782,n02085782_2293,,ImageNet database,,148,171,3,,,Japanese_spaniel,Unspecified,0,0,,8,2,146,166
,02085782,n02085782_23,,ImageNet database,,320,379,3,,,Japanese_spaniel,Unspecified,0,0,,73,24,255,255
,02085782,n02085782_230,,ImageNet database,,217,211,3,,,Japanese_spaniel,Unspecified,0,0,,64,50,201,193
,02085782,n02085782_2323,,ImageNet database,,200,150,3,,,Japanese_spaniel,Unspecified,0,0,,13,24,185,131
,02085782,n02085782_2345,,ImageNet database,,500,421,3,,,Japanese_spaniel,Unspecified,0,0,,2,28,460,419
,02085782,n02085782_2354,,ImageNet database,,600,449,3,,,Japanese_spaniel,Unspecified,0,0,,16,1,350,346
,02085782,n02085782_2428,,ImageNet database,,600,800,3,,,Japanese_spaniel,Unspecified,0,0,,18,22,586,798
,02085782,n02085782_2459,,ImageNet database,,515,446,3,,,Japanese_spaniel,Unspecified,0,0,,30,23,478,427
,02085782,n02085782_2491,,ImageNet database,,386,291,3,,,Japanese_spaniel,Unspecified,0,0,,51,15,342,281
,02085782,n02085782_2549,,ImageNet database,,350,369,3,,,Japanese_spaniel,Unspecified,0,0,,30,11,328,367
,02085782,n02085782_2584,,ImageNet database,,600,449,3,,,Japanese_spaniel,Unspecified,0,0,,0,57,582,447
,02085782,n02085782_2635,,ImageNet database,,640,480,3,,,Japanese_spaniel,Unspecified,0,0,,0,51,414,416
,02085782,n02085782_2635,,ImageNet database,,640,480,3,,,Japanese_spaniel,Unspecified,0,0,,304,201,638,478
,02085782,n02085782_2640,,ImageNet database,,400,266,3,,,Japanese_spaniel,Unspecified,0,0,,22,21,381,253
,02085782,n02085782_2655,,ImageNet database,,385,391,3,,,Japanese_spaniel,Unspecified,0,0,,11,8,376,384
,02085782,n02085782_267,,ImageNet database,,461,371,3,,,Japanese_spaniel,Unspecified,0,0,,65,65,384,344
