path,dclass,category
DogsImages\affenpinscher\sample_18306.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18307.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18308.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18309.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18310.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18311.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18312.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18313.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18314.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18315.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18316.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18317.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18318.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18319.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18320.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18321.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18322.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18323.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18324.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18325.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18326.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18327.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18328.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18329.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18330.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18331.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18332.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18333.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18334.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18335.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18336.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18337.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18338.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18339.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18340.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18341.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18342.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18343.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18344.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18345.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18346.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18347.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18348.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18349.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18350.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18351.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18352.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18353.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18354.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18355.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18356.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18357.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18358.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18359.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18360.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18361.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18362.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18363.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18364.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18365.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18366.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18367.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18368.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18369.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18370.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18371.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18372.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18373.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18374.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18375.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18376.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18377.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18378.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18379.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18380.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18381.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18382.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18383.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18384.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18385.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18386.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18387.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18388.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18389.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18390.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18391.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18392.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18393.jpg,affenpinscher,74
DogsImages\affenpinscher\sample_18394.jpg,affenpinscher,74
DogsImages\Afghan_hound\sample_1782.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1783.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1784.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1785.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1786.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1787.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1788.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1789.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1790.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1791.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1792.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1793.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1794.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1795.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1796.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1797.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1798.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1799.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1800.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1801.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1802.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1803.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1804.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1805.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1806.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1807.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1808.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1809.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1810.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1811.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1812.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1813.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1814.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1815.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1816.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1817.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1818.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1819.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1820.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1821.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1822.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1823.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1824.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1825.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1826.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1827.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1828.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1829.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1830.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1831.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1832.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1833.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1834.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1835.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1836.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1837.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1838.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1839.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1840.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1841.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1842.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1843.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1844.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1845.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1846.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1847.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1848.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1849.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1850.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1851.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1852.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1853.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1854.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1855.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1856.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1857.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1858.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1859.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1860.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1861.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1862.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1863.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1864.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1865.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1866.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1867.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1868.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1869.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1870.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1871.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1872.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1873.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1874.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1875.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1876.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1877.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1878.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1879.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1880.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1881.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1882.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1883.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1884.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1885.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1886.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1887.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1888.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1889.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1890.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1891.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1892.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1893.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1894.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1895.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1896.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1897.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1898.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1899.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1900.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1901.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1902.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1903.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1904.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1905.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1906.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1907.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1908.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1909.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1910.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1911.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1912.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1913.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1914.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1915.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1916.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1917.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1918.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1919.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1920.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1921.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1922.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1923.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1924.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1925.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1926.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1927.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1928.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1929.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1930.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1931.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1932.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1933.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1934.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1935.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1936.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1937.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1938.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1939.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1940.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1941.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1942.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1943.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1944.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1945.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1946.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1947.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1948.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1949.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1950.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1951.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1952.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1953.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1954.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1955.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1956.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1957.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1958.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1959.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1960.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1961.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1962.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1963.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1964.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1965.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1966.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1967.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1968.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1969.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1970.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1971.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1972.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1973.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1974.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1975.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1976.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1977.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1978.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1979.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1980.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1981.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1982.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1983.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1984.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1985.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1986.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1987.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1988.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1989.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1990.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1991.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1992.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1993.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1994.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1995.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1996.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1997.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1998.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_1999.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2000.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2001.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2002.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2003.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2004.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2005.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2006.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2007.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2008.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2009.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2010.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2011.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2012.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2013.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2014.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2015.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2016.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2017.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2018.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2019.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2020.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2021.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2022.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2023.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2024.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2025.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2026.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2027.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2028.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2029.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2030.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2031.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2032.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2033.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2034.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2035.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2036.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2037.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2038.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2039.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2040.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2041.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2042.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2043.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2044.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2045.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2046.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2047.jpg,Afghan_hound,0
DogsImages\Afghan_hound\sample_2048.jpg,Afghan_hound,0
